PROMPT_TOKENS:16959,CANDIDATE_TOKENS:17479
PROMPT_TOKENS:6562,CANDIDATE_TOKENS:7836
PROMPT_TOKENS:13015,CANDIDATE_TOKENS:15139
PROMPT_TOKENS:6748,CANDIDATE_TOKENS:8439
PROMPT_TOKENS:5595,CANDIDATE_TOKENS:6094
PROMPT_TOKENS:8183,CANDIDATE_TOKENS:7674
PROMPT_TOKENS:15528,CANDIDATE_TOKENS:13891
PROMPT_TOKENS:5696,CANDIDATE_TOKENS:6453
PROMPT_TOKENS:4945,CANDIDATE_TOKENS:5639
PROMPT_TOKENS:5470,CANDIDATE_TOKENS:6829
PROMPT_TOKENS:5428,CANDIDATE_TOKENS:7582
PROMPT_TOKENS:5620,CANDIDATE_TOKENS:6511
PROMPT_TOKENS:7510,CANDIDATE_TOKENS:9133
PROMPT_TOKENS:6339,CANDIDATE_TOKENS:7193
PROMPT_TOKENS:4441,CANDIDATE_TOKENS:5957
PROMPT_TOKENS:5995,CANDIDATE_TOKENS:6844
PROMPT_TOKENS:7004,CANDIDATE_TOKENS:8012
PROMPT_TOKENS:13614,CANDIDATE_TOKENS:8644
PROMPT_TOKENS:10668,CANDIDATE_TOKENS:9838
PROMPT_TOKENS:8290,CANDIDATE_TOKENS:8349
PROMPT_TOKENS:8139,CANDIDATE_TOKENS:7335
PROMPT_TOKENS:6359,CANDIDATE_TOKENS:7532
PROMPT_TOKENS:6694,CANDIDATE_TOKENS:7941
PROMPT_TOKENS:4483,CANDIDATE_TOKENS:3978
PROMPT_TOKENS:4483,CANDIDATE_TOKENS:6231
PROMPT_TOKENS:3889,CANDIDATE_TOKENS:5234
PROMPT_TOKENS:5674,CANDIDATE_TOKENS:6472
PROMPT_TOKENS:6562,CANDIDATE_TOKENS:7062
PROMPT_TOKENS:16457,CANDIDATE_TOKENS:10413
PROMPT_TOKENS:11105,CANDIDATE_TOKENS:11628
PROMPT_TOKENS:7282,CANDIDATE_TOKENS:7943
PROMPT_TOKENS:7320,CANDIDATE_TOKENS:7664
PROMPT_TOKENS:6415,CANDIDATE_TOKENS:7395
PROMPT_TOKENS:5562,CANDIDATE_TOKENS:6504
PROMPT_TOKENS:7038,CANDIDATE_TOKENS:7828
PROMPT_TOKENS:4239,CANDIDATE_TOKENS:5754
PROMPT_TOKENS:6161,CANDIDATE_TOKENS:7067
PROMPT_TOKENS:7371,CANDIDATE_TOKENS:8866
PROMPT_TOKENS:9153,CANDIDATE_TOKENS:9338
PROMPT_TOKENS:6959,CANDIDATE_TOKENS:7584
PROMPT_TOKENS:4321,CANDIDATE_TOKENS:5784
PROMPT_TOKENS:6956,CANDIDATE_TOKENS:7376
PROMPT_TOKENS:6113,CANDIDATE_TOKENS:8209
PROMPT_TOKENS:7327,CANDIDATE_TOKENS:8396
PROMPT_TOKENS:8151,CANDIDATE_TOKENS:7435
PROMPT_TOKENS:8143,CANDIDATE_TOKENS:9242
PROMPT_TOKENS:9182,CANDIDATE_TOKENS:9800
PROMPT_TOKENS:14899,CANDIDATE_TOKENS:13779
PROMPT_TOKENS:6914,CANDIDATE_TOKENS:7113
PROMPT_TOKENS:12802,CANDIDATE_TOKENS:9881
PROMPT_TOKENS:3957,CANDIDATE_TOKENS:3769
PROMPT_TOKENS:5856,CANDIDATE_TOKENS:5335
PROMPT_TOKENS:23000,CANDIDATE_TOKENS:12809
PROMPT_TOKENS:24207,CANDIDATE_TOKENS:17274
PROMPT_TOKENS:16819,CANDIDATE_TOKENS:12993
PROMPT_TOKENS:13887,CANDIDATE_TOKENS:10503
PROMPT_TOKENS:28797,CANDIDATE_TOKENS:13220
PROMPT_TOKENS:15813,CANDIDATE_TOKENS:11291
PROMPT_TOKENS:15563,CANDIDATE_TOKENS:14067
PROMPT_TOKENS:14622,CANDIDATE_TOKENS:12220
PROMPT_TOKENS:21153,CANDIDATE_TOKENS:7231
PROMPT_TOKENS:18926,CANDIDATE_TOKENS:10289
PROMPT_TOKENS:15611,CANDIDATE_TOKENS:13256
PROMPT_TOKENS:18827,CANDIDATE_TOKENS:11933
PROMPT_TOKENS:39478,CANDIDATE_TOKENS:16449
PROMPT_TOKENS:25148,CANDIDATE_TOKENS:17550
PROMPT_TOKENS:37409,CANDIDATE_TOKENS:5532
PROMPT_TOKENS:30190,CANDIDATE_TOKENS:14738
PROMPT_TOKENS:40745,CANDIDATE_TOKENS:19904
PROMPT_TOKENS:41961,CANDIDATE_TOKENS:6271
PROMPT_TOKENS:34808,CANDIDATE_TOKENS:6215
PROMPT_TOKENS:74062,CANDIDATE_TOKENS:65532
PROMPT_TOKENS:14993,CANDIDATE_TOKENS:11641
PROMPT_TOKENS:59257,CANDIDATE_TOKENS:16947
PROMPT_TOKENS:35568,CANDIDATE_TOKENS:16080
PROMPT_TOKENS:31811,CANDIDATE_TOKENS:40995
PROMPT_TOKENS:51609,CANDIDATE_TOKENS:61155
PROMPT_TOKENS:26788,CANDIDATE_TOKENS:6970
PROMPT_TOKENS:16206,CANDIDATE_TOKENS:11271
PROMPT_TOKENS:29515,CANDIDATE_TOKENS:13235
PROMPT_TOKENS:30611,CANDIDATE_TOKENS:16774
PROMPT_TOKENS:29480,CANDIDATE_TOKENS:5101
