hotel_id,room_id,name,amenities
A-35078,RA-28644,Executive Suite,
A-41302,RA-70650,Pearlinn Executive · City view,Twin Bed|120 sq.ft|3 Adults|Blanket|Water bottle|Attached washroom|Clothes rack|Fan
A-80242,RA-50351,Superior Double Room,2 Guests
A-52528,RA-73608,Classic,Double Bed|130 sq.ft|2 Adults|Blanket|TV|Fan|Dustbin
A-39286,RA-79857,2 Bedroom Suite,253 sq.ft|4 Guests|Fridge|Blackout curtains|Flat-screen TV|Separate living room|Dining table
A-70230,RA-04241,Executive Room · City view,Double Bed|255 sq.ft|3 Adults|Fridge|Blackout curtains|Wardrobe/closet|Blanket|TV
A-35718,RA-59003,Deluxe AC · City view,Queen Bed|196 sq.ft|3 Adults|Blanket|Attached washroom|Fan
A-53678,RA-32340,Deluxe Room - Non Smoking · City view,Double Bed|225 sq.ft|2 Adults|Minibar|Sofa|Wardrobe/closet|Blanket|TV
A-98793,RA-44519,Non AC Executive · City view,Double Bed|150 sq.ft|3 Adults|Flat-screen TV|Blanket|TV|Toiletries|Towels
A-89937,RA-89225,Double Room Ac,Double Bed|150 sq.ft|3 Adults|Blanket|Air conditioning|Fan
A-49503,RA-34883,Standard room,Twin Bed|150 sq.ft|2 Adults|Minibar|Feather pillow|TV|Ironing facilities|Air conditioning
A-76099,RA-98732,Premium Executive Room · City view,Double Bed|220 sq.ft|3 Adults|Blanket|Air conditioning|WiFi access|Water bottle|Housekeeping
A-79738,RA-30772,Queen Deluxe,
A-04222,RA-59855,Superior · City view,Double Bed|256 sq.ft|2 Adults|Blanket|TV|Air conditioning|Hairdryer|WiFi access
A-34136,RA-94817,Premium Room,Double Bed|180 sq.ft|3 Adults|Blanket|TV|Toiletries|WiFi access|Water bottle
A-22034,RA-40155,Deluxe AC Room · City view,Double Bed|312 sq.ft|2 Adults|Fridge|Blanket|TV|Air conditioning|Heating
A-29026,RA-47195,Deluxe - Room · City view,Double Bed|132 sq.ft|3 Adults|Minibar|Flat-screen TV|Linens|Blanket|TV
A-78488,RA-76706,Deluxe Room,1938 sq.ft|1 Adult|TV|Air conditioning|Toiletries|Towels|Water bottle
A-02886,RA-16540,Premium Suite - 2 Double Beds City View,1251 sq.ft|4 Guests|Tea/coffee maker|Fridge|Minibar|Sofa|Linens
A-75381,RA-15220,Deluxe Non-AC,1292 sq.ft|2 Guests|Flat-screen TV|TV|Toiletries|Towels|Private bathroom
A-43823,RA-13034,Hoodo Zoe - Scandinavian Apartment - 301,King Bed|475 sq.ft|3 Adults|Fridge|Blackout curtains|Dining table|Sofa|Blanket
A-29206,RA-51217,Standard Twin,Twin Bed|120 sq.ft|2 Adults|Flat-screen TV|WiFi access|Attached washroom|Fan
A-77213,RA-27843,Royal Club Twin Room · City view,Twin Bed|500 sq.ft|3 Adults|Fridge|Wardrobe/closet|Ironing facilities|Clothes dryer|Dental kit
A-22358,RA-60248,Deluxe Room,Queen Bed|324 sq.ft|3 Adults|Blackout curtains|Flat-screen TV|Wardrobe/closet|Blanket|TV
A-01031,RA-73550,King Suite · City view,King Bed|350 sq.ft|3 Adults|Blanket|TV|WiFi access|Water bottle|Attached washroom
A-80265,RA-07728,2 BHK KMR-301,Double Bed|300 sq.ft|6 Adults|Blanket|TV|Towels|WiFi access|Water bottle
A-82813,RA-84239,"Club Room, 1 Queen Bed",
A-81789,RA-02003,Executive Queen,Queen Bed|130 sq.ft|2 Adults|Blanket|Towels|WiFi access|Water bottle|Housekeeping
A-83821,RA-91919,Classic,Double Bed|100 sq.ft|2 Adults|Flat-screen TV|Fan
A-36218,RA-24374,DELUXE KING ROOM · City view,Double Bed|150 sq.ft|3 Adults|Fridge|Blanket|Air conditioning|WiFi access|Water bottle
A-45119,RA-23276,Superior Room · City view,Double Bed|225 sq.ft|3 Adults|Fridge|Minibar|Wardrobe/closet|TV|Ironing facilities
A-18175,RA-34328,2BHK Single Bathroom Private Flat · City view,Double Bed|120 sq.ft|3 Adults|Minibar|Linens|Blanket|TV|Towels
A-64013,RA-62785,Family Room · City view,Double Bed|300 sq.ft|3 Adults|Blanket|Air conditioning|WiFi access|Water bottle|Attached washroom|Shower
A-53948,RA-41980,Premium Queen Room - Non-Smoking Rooms · City view,Double Bed|175 sq.ft|2 Adults|Blanket|TV|Air conditioning|Toiletries|Towels
A-18357,RA-08789,Family Penthouse · City view,Double Bed|900 sq.ft|4 Adults|Blackout curtains|Sofa|Blanket|TV|Air conditioning
A-87452,RA-14664,Executive Room · City view,Double Bed|180 sq.ft|3 Adults|Fridge|Flat-screen TV|Blanket|TV|Air conditioning
A-83767,RA-02665,Couple Cabin,
A-22972,RA-53458,Standard Double Room · City view,Double Bed|154 sq.ft|3 Adults|Sofa|Wardrobe/closet|Blanket|TV|Air conditioning
A-14847,RA-97695,Suite Room · City view,Double Bed|375 sq.ft|3 Adults|Flat-screen TV|Linens|Blanket|TV|Air conditioning
A-93677,RA-00334,Standard double fan,1507 sq.ft|2 Guests|Linens|Wardrobe/closet|TV|Ironing facilities|Air conditioning
A-41021,RA-34102,Deluxe with Twin Bed,Double Bed|150 sq.ft|2 Adults|Blanket|Attached washroom|Fan
A-04189,RA-74093,Suite,Double Bed|100 sq.ft|2 Adults|Blackout curtains|Flat-screen TV|Blanket|Air conditioning|Toiletries
