id,name,address,lat,lon,stars,amenities,image_urls
B-05986,Collection O The Mass Residency By Dv,",51/1 1st Main Road, Maruti Nagar, Madiwala,Bangalore,Karnataka,560068,India, Bangalore, Karnataka, India, 560068",12.925539,77.616745,3.0,Air Conditioner|Shower|Room Service|Elevator|Housekeeping|Multilingual Staff|Wakeup Service|Cctv|Fire Safety,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-05986/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-05986/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-05986/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-05986/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-05986/4.jpg
B-71970,Om Sai Suites,"3 #62, M.E.I Layout, A Main Rd, M.E.I, Basaveshwara HBCS Layout, Bagalakunte, Bengaluru, Karnataka 560090, Bangalore, Karnataka, India, 560073",13.062047,77.5056,2.0,Room Service|Wifi|Elevator|Housekeeping|Cctv,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-71970/0.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-71970/1.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-71970/2.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-71970/3.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-71970/4.jpeg
B-19663,Hotel O Royal Treat,"18 RGA tech park, Bangalore, Bangalore, Karnataka, India, 560035",12.903409,77.70491,3.0,Air Conditioner|Common Seating Area|Room Service|Elevator|Housekeeping|Multilingual Staff|Cctv|Fire Safety,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-19663/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-19663/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-19663/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-19663/3.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-19663/4.jpeg
B-90915,FabHotel Shreyas Shack,"19, Vidya Nagar, 5th Cross, Hosur Road, Bommasandra, Bengaluru, Karnataka, India, 560099",13.034725,77.629005,3.0,Smoking Area|Smoking Area|Breakfast|Parking|Elevator|Elevator|Elevator|Wheelchair Accessible|Safe Deposit Box,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-90915/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-90915/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-90915/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-90915/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-90915/4.jpg
B-27559,Relax stay service apartments,"Usha Apartment, 18, Bangalore, Karnataka, India, 560049",13.024083,77.70481,3.0,Balcony/Terrace|Smoking Area|Microwave|Refrigerator|Fans|Kitchen|Parking|Elevator|Pet Friendly,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-27559/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-27559/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-27559/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-27559/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-27559/4.jpg
B-62314,FabHotel Vasatiya & Suites,"2nd Floor No. 6/4, Kundalahalli Main Rd, opposite Smart Bazar, Lakshminarayana Pura, AECS Layout Bengaluru, 560037, Bangalore, Karnataka, India, 560037",12.958589,77.715706,2.0,Air Conditioner|Room Service|Wifi|Parking|Elevator|Doctor,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-62314/0.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-62314/1.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-62314/2.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-62314/3.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-62314/4.jpeg
B-43386,FabHotel Sujatha Residency - Near Channasandra Railway Station,"No:14, Srivari Nilaya, 6th Cross, behind, Rajrajeshwari Granites, Ramamurthy Nagar, Bengaluru, India, 560016",13.012509,77.663345,3.0,Smoking Area|Smoking Area|Breakfast|Parking|Elevator|Elevator|Elevator|Wheelchair Accessible|Safe Deposit Box,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-43386/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-43386/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-43386/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-43386/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-43386/4.jpg
B-28022,"278 Home Tales by Tipiverse, Koramangala","9th Cross, Building, 278, 2nd Cross Rd, SHBCS Layout, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034, Bangalore, Karnataka, India, 560034",12.929229,77.63805,3.0,Air Conditioner|Terrace|Bilingual Staff|Parking|Elevator|Housekeeping|Multilingual Staff|Cctv|Fire Safety,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-28022/0.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-28022/1.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-28022/2.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-28022/3.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-28022/4.jpeg
B-21795,Myspace Hotels Silverstar,"126 6th Cross Rd, Bengaluru, KA, India, 560009",12.979055,77.57896,3.0,Handrails In Stairways|Smoke-Complimentary Property|Restaurant|Newspaper|Spa|Wifi|Parking|Parking|Parking|Elevator|Wheelchair Accessible|Wheelchair Accessible|Wheelchair Accessible|Wheelchair Accessible|Visual Alarms In Hallways|Conference Space|Meeting/Conference Facilities|Meeting/Conference Facilities,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-21795/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-21795/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-21795/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-21795/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-21795/4.jpg
B-10818,Athulya square Room,"231, 9th Main Rd, 1st Block, HRBR Layout, Opposite to Maxwell Public School, Kalyan Nagar, Bangalore, Karnataka, India, 560043",13.016553,77.647064,3.0,Air Conditioner|Air Conditioner|Balcony/Terrace|Check-In|Clothes Dryer|Coffee Shop/Cafe|Currency Exchange|Dining Table|Dry Cleaning|Food Delivery|Ground Floor Available|Iron/Ironing Board|Iron/Ironing Board|Laundromat|Laundry Facilities|Laundry Facilities|Laundry Facilities|Private Apartment In Building|Private Check-In Checkout|Seating Area|Slippers|Smoke-Complimentary Property|Smoke-Complimentary Property|Smoking Area|Terrace|Washing Machine|Work Desk|High Floor|Rooftop Area|Separate Living Room|Umbrella|Adapter|Alarm Clock|Bathroom|Bathtub|Clothes Rack|Electric Kettle|Electric Kettle|Face Masks|Fan|Complimentary Bottled Water|Microwave|Mirror|Refrigerator|Shower|Sofa|Soundproof Rooms|Soundproof Rooms|Sterilizing Equipment|Toiletries|Wardrobe|Windows|Non-Smoking Rooms|Room Decorations|Bbq Facilities|Breakfast|Breakfast|Breakfast Available|Grocery Delivery|Individually-Wrapped Food Options|Kitchen|Meeting/Banquet Facilities|Restaurant|Restaurant|Restaurant|Restaurant|Restaurant|Restaurant|Restaurant|Room Service|Shared Kitchen|Breakfast|Restaurant|Restaurant|Restaurant|Restaurant|Restaurant|Restaurant|Restaurant|Restaurant|Newspaper|Internet Access|Tv|Wifi|Wifi|Wifi|Wifi|Wifi|Wifi|Airport Transportation|Car Rental|Parking|Accessible By Stairs|Elevator|Family Room|Kids Meal|Concierge|Front Desk|Grooming Service|Hotel Room Service App|Housekeeping|Luggage Storage|Postal Service|Ticket Services|Tours|Trouser Press|Wake-Up Service|Doctor|Fire Extinguishers|Locker|Safe Deposit Box|Sanitization|Smoke Detectors|First Aid Kit|Cashless Payment Service|Invoice Provided|Meeting/Conference Facilities|Xerox/Fax|Meeting/Conference Facilities,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-10818/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-10818/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-10818/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/b/B-10818/4.jpg
